,loss,acc,val_loss,val_acc
0,0.7338,0.6852,0.2908,0.9017
1,0.3434,0.8555,0.1363,0.9651
2,0.2335,0.9118,0.0812,0.9825
3,0.2103,0.9213,0.1306,0.9582
4,0.1707,0.9385,0.0163,1
5,0.1783,0.9346,0.1029,0.9723
6,0.1878,0.9282,0.0182,1
7,0.1588,0.941,0.3775,0.8562
8,0.1509,0.9453,0.0716,0.9723
9,0.139,0.9517,0.0142,0.9979
10,0.1359,0.9502,0.1977,0.9117
11,0.0874,0.9708,0.0386,0.986
12,0.1256,0.9537,0.0163,0.9955
13,0.1071,0.9628,0.2347,0.8925
14,0.1175,0.9567,0.1565,0.9284
15,0.0839,0.9718,0.0025,1
16,0.0964,0.9682,0.0071,1
17,0.1334,0.9497,0.0431,0.9846
18,0.0729,0.9734,0.0047,0.9993
19,0.1567,0.9397,0.0098,0.9973
20,0.1081,0.9607,0.4457,0.8425
21,0.1158,0.9575,0.0379,0.9901
22,0.1059,0.9614,0.0492,0.9825
23,0.084,0.9715,0.0212,0.9962
24,0.0729,0.9769,0.0057,0.9997
25,0.1062,0.9649,0.1337,0.9599
26,0.081,0.9723,0.014,0.9976
27,0.0719,0.9758,0.0739,0.9661
28,0.0857,0.9698,0.0341,0.9918
29,0.0789,0.973,0.0425,0.9863
30,0.0744,0.9754,0.019,0.9945
31,0.0744,0.9742,0.0099,0.9986
32,0.064,0.9786,0.0064,0.9983
33,0.0883,0.9709,0.0063,0.9993
34,0.0883,0.9714,0.0081,0.9993
35,0.0866,0.9709,0.0254,0.9901
36,0.0957,0.9657,0.1962,0.9
37,0.0859,0.97,0.0115,0.9993
38,0.0919,0.9671,0.044,0.9873
39,0.0952,0.9674,0.0121,0.9986
40,0.0983,0.9642,0.1384,0.9343
41,0.0815,0.9702,0.1248,0.9528
42,0.0854,0.9709,0.5028,0.8069
43,0.0799,0.972,0.0784,0.9634
44,0.065,0.9769,0.0556,0.9743
45,0.0547,0.981,0.0375,0.9843
46,0.0601,0.9801,0.0031,1
47,0.095,0.9676,0.1181,0.9432
48,0.057,0.9813,0.0153,0.9952
49,0.0538,0.9824,0.0098,0.999
