,loss,acc,val_loss,val_acc
0,0.8398,0.5497,0.6816,0.6303
1,0.7568,0.5595,0.6818,0.6217
2,0.7261,0.5697,0.6535,0.6303
3,0.7016,0.5847,0.656,0.6303
4,0.6854,0.5947,0.6523,0.6303
5,0.6735,0.6036,0.6613,0.6303
6,0.6684,0.6153,0.6492,0.6303
7,0.6623,0.6172,0.6673,0.6255
8,0.6583,0.6253,0.6557,0.6323
9,0.6559,0.628,0.6466,0.6323
10,0.6522,0.632,0.645,0.6323
11,0.6508,0.6326,0.6407,0.6313
12,0.6478,0.6348,0.6405,0.6457
13,0.6446,0.6391,0.6478,0.6381
14,0.6417,0.6402,0.663,0.6381
15,0.6423,0.6372,0.632,0.6416
16,0.6385,0.6431,0.6325,0.6416
17,0.6383,0.6414,0.6369,0.6416
18,0.6402,0.6394,0.6375,0.6416
19,0.6364,0.6404,0.6287,0.6416
20,0.6366,0.6409,0.6261,0.6457
21,0.6377,0.6435,0.6293,0.6416
22,0.6341,0.643,0.6289,0.6416
23,0.6358,0.6393,0.6267,0.6416
24,0.6347,0.6413,0.6297,0.6464
25,0.6355,0.6411,0.6368,0.6416
26,0.6359,0.6433,0.6313,0.6416
27,0.637,0.6425,0.6285,0.6464
28,0.6359,0.6426,0.6301,0.6416
29,0.6346,0.644,0.6332,0.6505
30,0.6331,0.6447,0.6224,0.6525
31,0.6351,0.6436,0.6402,0.6416
32,0.6324,0.644,0.6273,0.6505
33,0.6319,0.6457,0.6223,0.6573
34,0.6317,0.6464,0.6314,0.6464
35,0.6368,0.6431,0.6284,0.6573
36,0.6308,0.6465,0.6213,0.6573
37,0.6318,0.6451,0.629,0.6416
38,0.6294,0.6464,0.6267,0.6573
39,0.6307,0.645,0.6274,0.6464
40,0.6303,0.6474,0.6245,0.6464
41,0.631,0.646,0.624,0.6464
42,0.6309,0.6459,0.6305,0.6464
43,0.6308,0.6466,0.6335,0.6381
44,0.6306,0.6461,0.6207,0.6464
45,0.629,0.6466,0.6186,0.6573
46,0.6306,0.6468,0.621,0.6573
47,0.6289,0.6475,0.6193,0.6573
48,0.6319,0.6489,0.6169,0.6573
49,0.6287,0.649,0.6208,0.6573
50,0.6262,0.6475,0.6173,0.6573
51,0.627,0.6479,0.6198,0.6464
52,0.6293,0.6487,0.6169,0.6573
53,0.6261,0.6484,0.6277,0.6464
54,0.6265,0.6459,0.6164,0.6573
55,0.6253,0.6459,0.6177,0.6464
56,0.6299,0.6458,0.6157,0.6573
57,0.6251,0.6479,0.6148,0.6573
58,0.6281,0.6485,0.6163,0.6573
59,0.6243,0.6487,0.6165,0.6464
60,0.6262,0.6469,0.6136,0.6573
61,0.6264,0.6478,0.6172,0.6464
62,0.6259,0.648,0.6145,0.6573
63,0.6259,0.6452,0.617,0.6464
64,0.6257,0.6473,0.6176,0.6573
65,0.6249,0.6488,0.6172,0.6464
66,0.6252,0.6493,0.6205,0.6464
67,0.6243,0.6479,0.628,0.6464
68,0.6248,0.6494,0.6141,0.6573
69,0.6265,0.646,0.6166,0.6573
70,0.6277,0.6473,0.6154,0.6573
71,0.6244,0.6482,1.1646,0.6361
72,0.6262,0.6485,0.6171,0.6573
73,0.6249,0.6481,0.6179,0.6573
74,0.6243,0.6453,0.6148,0.6573
75,0.6235,0.648,0.6146,0.6573
76,0.6246,0.6479,0.6255,0.6573
77,0.6241,0.6476,0.6165,0.6464
78,0.6242,0.6486,0.6206,0.6573
79,0.6229,0.65,0.6185,0.6573
80,0.6246,0.6485,0.6169,0.6573
81,0.6241,0.6483,0.6188,0.6464
82,0.625,0.6457,0.615,0.6573
83,0.6245,0.6476,0.6147,0.6573
84,0.6231,0.6477,0.614,0.6573
85,0.6245,0.6496,0.6139,0.6573
86,0.6262,0.6479,0.6256,0.6464
87,0.6246,0.6506,0.6145,0.6573
88,0.6232,0.6486,0.6192,0.6464
89,0.6234,0.6489,0.6139,0.6573
90,0.6237,0.6495,0.6179,0.6573
91,0.6243,0.6481,0.6149,0.6573
92,0.6242,0.648,0.6222,0.6573
93,0.6247,0.648,0.6168,0.6573
94,0.6227,0.6503,0.6193,0.6573
95,0.6238,0.6464,0.6142,0.6573
96,0.6307,0.6495,0.6191,0.6464
97,0.6242,0.6495,0.6145,0.6573
98,0.6233,0.6484,0.6158,0.6573
99,0.624,0.6484,0.6193,0.6573
100,0.6231,0.6468,0.6345,0.6464
101,0.6234,0.6475,0.6136,0.6573
102,0.6225,0.6484,0.6141,0.6573
103,0.6242,0.6478,0.6131,0.6573
104,0.624,0.6486,0.6173,0.6573
105,0.6238,0.6475,0.6221,0.6573
106,0.6235,0.6484,0.6125,0.6573
107,0.6234,0.6478,0.6134,0.6573
108,0.6243,0.6487,0.6139,0.6573
109,0.6243,0.6491,0.616,0.6573
110,0.6225,0.6492,0.6172,0.6573
111,0.6251,0.6478,0.6142,0.6573
112,0.6224,0.6516,0.6131,0.6573
113,0.6225,0.6505,0.6151,0.6573
114,0.6465,0.6422,0.6262,0.6573
115,0.6336,0.6449,0.625,0.6464
116,0.6298,0.6451,0.6163,0.6573
117,0.6283,0.645,0.6205,0.6573
118,0.6279,0.6465,0.6158,0.6573
119,0.6265,0.6484,0.6152,0.6573
120,0.6256,0.6487,0.6203,0.6573
121,0.6263,0.6479,0.6141,0.6573
122,0.6265,0.6492,0.6145,0.6573
123,0.6266,0.6492,0.6143,0.6573
124,0.6257,0.6495,0.6138,0.6573
125,0.6272,0.6448,0.6142,0.6573
126,0.6257,0.6489,0.6135,0.6573
127,0.6252,0.647,0.6288,0.6573
128,0.6256,0.6478,0.6171,0.6573
129,0.6245,0.6466,0.6146,0.6573
130,0.6248,0.6479,0.6187,0.6573
131,0.626,0.6475,0.6304,0.6573
132,0.6245,0.6487,0.6126,0.6573
133,0.6226,0.6497,0.6136,0.6573
134,0.6253,0.6478,0.6145,0.6573
135,0.6245,0.649,0.6168,0.6573
136,0.6253,0.6491,0.6145,0.6573
137,0.6263,0.6506,0.6206,0.6573
138,0.6261,0.6486,0.624,0.6573
139,0.6239,0.6488,0.6172,0.6573
140,0.625,0.6475,0.6242,0.6573
141,0.6248,0.6492,0.616,0.6573
142,0.6248,0.6492,0.6156,0.6573
143,0.6244,0.646,0.6193,0.6573
144,0.6268,0.6494,0.619,0.6573
145,0.6252,0.6487,0.6283,0.6573
146,0.6246,0.6486,0.613,0.6573
147,0.6244,0.6505,0.6156,0.6573
148,0.6236,0.6478,0.6137,0.6573
149,0.6275,0.65,0.615,0.6573
150,0.6233,0.6483,0.6212,0.6573
151,0.6234,0.6465,0.6125,0.6573
152,0.6235,0.6485,0.6149,0.6573
153,0.6226,0.6496,0.6132,0.6573
154,0.6264,0.6478,0.63,0.6573
155,0.6246,0.6497,0.6154,0.6573
156,0.6228,0.6488,0.6126,0.6573
157,0.6237,0.6482,0.6136,0.6573
158,0.6236,0.6485,0.6284,0.6573
159,0.6213,0.6486,0.6182,0.6573
160,0.6237,0.6477,0.613,0.6573
161,0.6214,0.6478,0.6245,0.6573
162,0.6258,0.6494,0.6127,0.6573
163,0.6238,0.6475,0.6134,0.6573
164,0.6228,0.6477,0.6121,0.6573
165,0.6282,0.6495,0.6159,0.6573
166,0.6226,0.6497,0.6133,0.6573
167,0.6256,0.6503,0.617,0.6573
168,0.6227,0.6502,0.6195,0.6573
169,0.6264,0.6511,0.6137,0.6573
170,0.6245,0.648,0.6141,0.6573
171,0.6235,0.6503,0.6156,0.6573
172,0.6255,0.6503,0.6167,0.6573
173,0.6208,0.6486,0.6168,0.6573
174,0.6252,0.6494,0.6162,0.6573
175,0.6228,0.6488,0.6138,0.6573
176,0.6224,0.6501,0.6127,0.6573
