,loss,acc,val_loss,val_acc
0,0.1174 ,0.9573 ,2.6455e-04 ,1.0000
1,2.1225e-04 ,1.0000 ,1.3156e-05 ,1.0000
2,3.3745e-05 ,1.0000 ,4.9331e-06 ,1.0000
3,1.8066e-05 ,1.0000 ,2.7677e-06 ,1.0000
4,1.1316e-05 ,1.0000 ,1.9563e-06 ,1.0000
5,8.8473e-06 ,1.0000 ,1.4267e-06 ,1.0000
6,6.9480e-06 ,1.0000 ,1.1652e-06 ,1.0000
7,5.7136e-06 ,1.0000 ,9.4405e-07 ,1.0000
8,4.8658e-06 ,1.0000 ,8.3666e-07 ,1.0000
9,4.2176e-06 ,1.0000 ,7.6189e-07 ,1.0000
10,3.7700e-06 ,1.0000 ,6.8882e-07 ,1.0000
11,3.1361e-06 ,1.0000 ,5.9558e-07 ,1.0000
12,2.9785e-06 ,1.0000 ,5.5185e-07 ,1.0000
13,2.7698e-06 ,1.0000 ,5.2106e-07 ,1.0000
14,2.5018e-06 ,1.0000 ,4.7845e-07 ,1.0000
15,2.2187e-06 ,1.0000 ,4.6540e-07 ,1.0000
16,2.4571e-06 ,1.0000 ,4.0538e-07 ,1.0000
17,1.8855e-06 ,1.0000 ,3.7883e-07 ,1.0000
18,1.8343e-06 ,1.0000 ,3.5867e-07 ,1.0000
19,1.9218e-06 ,1.0000 ,3.4555e-07 ,1.0000
20,1.5919e-06 ,1.0000 ,3.3065e-07 ,1.0000
21,1.6043e-06 ,1.0000 ,3.1757e-07 ,1.0000
22,1.5787e-06 ,1.0000 ,3.0539e-07 ,1.0000
23,1.4760e-06 ,1.0000 ,2.9713e-07 ,1.0000
24,1.4042e-06 ,1.0000 ,2.8421e-07 ,1.0000
25,1.4613e-06 ,1.0000 ,2.7213e-07 ,1.0000
26,1.2052e-06 ,1.0000 ,2.6327e-07 ,1.0000
27,1.3155e-06 ,1.0000 ,2.5034e-07 ,1.0000
28,1.2466e-06 ,1.0000 ,2.4070e-07 ,1.0000
29,1.1948e-06 ,1.0000 ,2.3440e-07 ,1.0000
30,1.0833e-06 ,1.0000 ,2.2724e-07 ,1.0000
31,1.1093e-06 ,1.0000 ,2.2293e-07 ,1.0000
32,1.1085e-06 ,1.0000 ,2.1775e-07 ,1.0000
33,1.0124e-06 ,1.0000 ,2.1787e-07 ,1.0000
34,1.2840e-06 ,1.0000 ,2.2089e-07 ,1.0000
35,9.6485e-07 ,1.0000 ,2.1634e-07 ,1.0000
36,8.4235e-07 ,1.0000 ,2.1442e-07 ,1.0000
37,9.4895e-07 ,1.0000 ,2.1391e-07 ,1.0000
38,8.9746e-07 ,1.0000 ,2.0759e-07 ,1.0000
39,8.2037e-07 ,1.0000 ,2.0367e-07 ,1.0000
40,9.5491e-07 ,1.0000 ,1.9983e-07 ,1.0000
41,8.1083e-07 ,1.0000 ,2.0057e-07 ,1.0000
42,6.8350e-07 ,1.0000 ,2.0091e-07 ,1.0000
