,loss,acc,val_loss,val_acc
0,0.6447,0.643,0.5901,0.6861
1,0.5711,0.7083,0.5618,0.708
2,0.5435,0.7311,0.5632,0.7087
3,0.527,0.7416,0.553,0.7121
4,0.511,0.7498,0.5425,0.7172
5,0.4962,0.7584,0.5449,0.7206
6,0.4859,0.7668,0.5384,0.7128
7,0.4736,0.7732,0.5407,0.7141
8,0.4664,0.7754,0.5389,0.7145
9,0.4582,0.7816,0.535,0.7241
10,0.4495,0.7867,0.5351,0.7169
11,0.4435,0.7906,0.5532,0.7042
12,0.4367,0.7943,0.5425,0.7186
13,0.4312,0.7949,0.5387,0.7244
14,0.425,0.7981,0.5437,0.7237
15,0.4211,0.8007,0.5426,0.7097
16,0.4175,0.804,0.5436,0.7145
17,0.4134,0.8054,0.5614,0.7159
18,0.4113,0.8054,0.5565,0.7165
19,0.4072,0.8081,0.5413,0.7114
20,0.4044,0.8074,0.5486,0.7107
21,0.4017,0.8076,0.5381,0.7319
22,0.3963,0.8112,0.532,0.7237
23,0.3954,0.8102,0.5494,0.7124
24,0.3926,0.8123,0.5548,0.7148
25,0.3904,0.8139,0.5545,0.7117
26,0.3911,0.8128,0.5502,0.7131
27,0.3884,0.8135,0.548,0.7155
28,0.3864,0.8121,0.5548,0.7155
29,0.3823,0.8157,0.5499,0.7234
30,0.383,0.8148,0.5514,0.7193
31,0.3801,0.8176,0.5527,0.7097
32,0.3796,0.8166,0.548,0.7206
33,0.3794,0.8168,0.5429,0.7193
34,0.3763,0.8177,0.5511,0.7271
35,0.3744,0.819,0.5476,0.7217
36,0.3732,0.8209,0.5512,0.7165
37,0.3733,0.8182,0.5477,0.7189
38,0.3736,0.8194,0.5496,0.7169
39,0.3697,0.8188,0.5514,0.7182
40,0.3695,0.8215,0.5557,0.7206
41,0.3705,0.8203,0.5439,0.7189
42,0.3686,0.8205,0.5601,0.7114
43,0.3645,0.821,0.5497,0.7241
44,0.3641,0.8223,0.5557,0.7234
45,0.3675,0.821,0.5531,0.7162
46,0.3653,0.8218,0.5508,0.7165
47,0.361,0.8248,0.5599,0.72
